species,scientific name,type,english name,english_name
Sphagnum,Sphagnum,Moss,Bog Moss,Bog Moss
Sphagnum compactum,Sphagnum compactum,Moss,Compact Bog-moss,Compact Bog-moss
Streblotrichum convolutum,Streblotrichum convolutum,Moss,Streblotrichum convolutum,Streblotrichum convolutum
Syntrichia ruraliformis,Syntrichia ruraliformis,Moss,Sand-hill Screw-moss,Sand-hill Screw-moss
Syntrichia ruralis,Syntrichia ruralis,Moss,Great Hairy Screw-moss,Great Hairy Screw-moss
Syntrichia ruralis var. ruralis,Syntrichia ruralis var. ruralis,Moss,Syntrichia ruralis var. ruralis,Syntrichia ruralis var. ruralis
Tetrodontium brownianum,Tetrodontium brownianum,Moss,Browns Four-tooth Moss,Browns Four-tooth Moss
Thamnobryum alopecurum,Thamnobryum alopecurum,Moss,Fox-tail Feather-moss,Fox-tail Feather-moss
Tortella flavovirens,Tortella flavovirens,Moss,Arisaig Crisp-moss,Arisaig Crisp-moss
Tortula acaulon,Tortula acaulon,Moss,Cuspidate Earth-moss,Cuspidate Earth-moss
Tortula muralis,Tortula muralis,Moss,Wall Screw-moss,Wall Screw-moss
Ulota bruchii,Ulota bruchii,Moss,Bruchs Pincushion,Bruchs Pincushion
Ulota crispa,Ulota crispa,Moss,Crisped Pincushion,Crisped Pincushion
Ulota drummondii,Ulota drummondii,Moss,Drummonds Pincushion,Drummonds Pincushion
Weissia brachycarpa var. brachycarpa,Weissia brachycarpa var. brachycarpa,Moss,Weissia brachycarpa var. brachycarpa,Weissia brachycarpa var. brachycarpa
Weissia controversa var. controversa,Weissia controversa var. controversa,Moss,Weissia controversa var. controversa,Weissia controversa var. controversa
Weissia rutilans,Weissia rutilans,Moss,Pointed-leaved Stubble-moss,Pointed-leaved Stubble-moss
Zygodon conoideus,Zygodon conoideus,Moss,Lesser Yoke-moss,Lesser Yoke-moss
Zygodon viridissimus,Zygodon viridissimus,Moss,Green Yoke-moss,Green Yoke-moss
Abietinaria abietina,Abietinaria abietina,Moth,Abietinaria abietina,Abietinaria abietina
Abraxas grossulariata,Abraxas grossulariata,Moth,Magpie Moth,Magpie Moth
Abrostola tripartita,Abrostola tripartita,Moth,Spectacle,Spectacle
Acasis viretata,Acasis viretata,Moth,Yellow-barred Brindle,Yellow-barred Brindle
Acherontia atropos,Acherontia atropos,Moth,Deaths-head Hawk-moth,Deaths-head Hawk-moth
Achlya flavicornis,Achlya flavicornis,Moth,Yellow Horned,Yellow Horned
Acronicta leporina,Acronicta leporina,Moth,Miller,Miller
Acronicta psi,Acronicta psi,Moth,Grey Dagger,Grey Dagger
Acronicta rumicis,Acronicta rumicis,Moth,Knot Grass,Knot Grass
Actebia praecox,Actebia praecox,Moth,Portland Moth,Portland Moth
Agriopis aurantiaria,Agriopis aurantiaria,Moth,Scarce Umber,Scarce Umber
Agriopis leucophaearia,Agriopis leucophaearia,Moth,Spring Usher,Spring Usher
Agriopis marginaria,Agriopis marginaria,Moth,Dotted Border,Dotted Border
Agrius convolvuli,Agrius convolvuli,Moth,Convolvulus Hawk-moth,Convolvulus Hawk-moth
Agrotis clavis,Agrotis clavis,Moth,Heart and Club,Heart and Club
Agrotis exclamationis,Agrotis exclamationis,Moth,Heart and Dart,Heart and Dart
Agrotis ipsilon,Agrotis ipsilon,Moth,Dark Sword-grass,Dark Sword-grass
Agrotis puta,Agrotis puta,Moth,Shuttle-shaped Dart,Shuttle-shaped Dart
Agrotis ripae,Agrotis ripae,Moth,Sand Dart,Sand Dart
Agrotis segetum,Agrotis segetum,Moth,Turnip Moth,Turnip Moth
Agrotis vestigialis,Agrotis vestigialis,Moth,Archers Dart,Archers Dart
Alcis jubata,Alcis jubata,Moth,Dotted Carpet,Dotted Carpet
Alcis repandata,Alcis repandata,Moth,Mottled Beauty,Mottled Beauty
Allophyes oxyacanthae,Allophyes oxyacanthae,Moth,Green-brindled Crescent,Green-brindled Crescent
Alsophila aescularia,Alsophila aescularia,Moth,March Moth,March Moth
Alteutha depressa,Alteutha depressa,Moth,Alteutha depressa,Alteutha depressa
Amphipoea lucens,Amphipoea lucens,Moth,Large Ear,Large Ear
Amphipoea oculea,Amphipoea oculea,Moth,Ear Moth,Ear Moth
Amphipyra berbera,Amphipyra berbera,Moth,Svennsons Copper Underwing,Svennsons Copper Underwing
Amphipyra tragopoginis,Amphipyra tragopoginis,Moth,Mouse Moth,Mouse Moth
Anaplectoides prasina,Anaplectoides prasina,Moth,Green Arches,Green Arches
Anarta trifolii,Anarta trifolii,Moth,Nutmeg,Nutmeg
Anchoscelis litura,Anchoscelis litura,Moth,Brown-spot Pinion,Brown-spot Pinion
Anchoscelis lunosa,Anchoscelis lunosa,Moth,Lunar Underwing,Lunar Underwing
Anorthoa munda,Anorthoa munda,Moth,Twin-spotted Quaker,Twin-spotted Quaker
Anticlea derivata,Anticlea derivata,Moth,Streamer,Streamer
Antitype chi,Antitype chi,Moth,Grey Chi,Grey Chi
Apamea crenata,Apamea crenata,Moth,Clouded-bordered Brindle,Clouded-bordered Brindle
Apamea lithoxylaea,Apamea lithoxylaea,Moth,Light Arches,Light Arches
Apamea monoglypha,Apamea monoglypha,Moth,Dark Arches,Dark Arches
Apamea remissa,Apamea remissa,Moth,Dusky Brocade,Dusky Brocade
Apamea scolopacina,Apamea scolopacina,Moth,Slender Brindle,Slender Brindle
Apamea sordens,Apamea sordens,Moth,Rustic Shoulder-knot,Rustic Shoulder-knot
Apamea unanimis,Apamea unanimis,Moth,Small Clouded Brindle,Small Clouded Brindle
Aphidoletes urticaria,Aphidoletes urticaria,Moth,Aphidoletes urticaria,Aphidoletes urticaria
Aplocera efformata,Aplocera efformata,Moth,Lesser Treble-bar,Lesser Treble-bar
Aplocera plagiata,Aplocera plagiata,Moth,Treble-bar,Treble-bar
Aporophyla lueneburgensis,Aporophyla lueneburgensis,Moth,Northern Deep-brown Dart,Northern Deep-brown Dart
Aporophyla nigra,Aporophyla nigra,Moth,Black Rustic,Black Rustic
Arctia caja,Arctia caja,Moth,Garden Tiger,Garden Tiger
Atethmia centrago,Atethmia centrago,Moth,Centre-barred Sallow,Centre-barred Sallow
Atolmis rubricollis,Atolmis rubricollis,Moth,Red-necked Footman,Red-necked Footman
Autographa bractea,Autographa bractea,Moth,Gold Spangle,Gold Spangle
Autographa gamma,Autographa gamma,Moth,Silver Y,Silver Y
Autographa jota,Autographa jota,Moth,Plain Golden Y,Plain Golden Y
Autographa pulchrina,Autographa pulchrina,Moth,Beautiful Golden Y,Beautiful Golden Y
Axylia putris,Axylia putris,Moth,Flame,Flame
Biston betularia,Biston betularia,Moth,Peppered Moth,Peppered Moth
Biston strataria,Biston strataria,Moth,Oak Beauty,Oak Beauty
Brachylomia viminalis,Brachylomia viminalis,Moth,Minor Shoulder-knot,Minor Shoulder-knot
Bryophila domestica,Bryophila domestica,Moth,Marbled Beauty,Marbled Beauty
Bupalus piniaria,Bupalus piniaria,Moth,Bordered White,Bordered White
Cabera exanthemata,Cabera exanthemata,Moth,Common Wave,Common Wave
Cabera pusaria,Cabera pusaria,Moth,Common White Wave,Common White Wave
Callistege mi,Callistege mi,Moth,Mother Shipton,Mother Shipton
Campaea margaritaria,Campaea margaritaria,Moth,Light Emerald,Light Emerald
Camptogramma bilineata,Camptogramma bilineata,Moth,Yellow Shell,Yellow Shell
Camptogramma bilineata subsp. bilineata,Camptogramma bilineata subsp. bilineata,Moth,Camptogramma bilineata subsp. bilineata,Camptogramma bilineata subsp. bilineata
Caradrina clavipalpis,Caradrina clavipalpis,Moth,Pale Mottled Willow,Pale Mottled Willow
Caradrina morpheus,Caradrina morpheus,Moth,Mottled Rustic,Mottled Rustic
Celaena haworthii,Celaena haworthii,Moth,Haworths Minor,Haworths Minor
Ceramica pisi,Ceramica pisi,Moth,Broom Moth,Broom Moth
Cerapteryx graminis,Cerapteryx graminis,Moth,Antler Moth,Antler Moth
Cerastis rubricosa,Cerastis rubricosa,Moth,Red Chestnut,Red Chestnut
Cerura vinula,Cerura vinula,Moth,Puss Moth,Puss Moth
Charissa obscurata,Charissa obscurata,Moth,Annulet,Annulet
Chesias legatella,Chesias legatella,Moth,Streak,Streak
Chesias rufata,Chesias rufata,Moth,Broom-tip,Broom-tip
Chiasmia clathrata,Chiasmia clathrata,Moth,Latticed Heath,Latticed Heath
Chloroclysta miata,Chloroclysta miata,Moth,Autumn Green Carpet,Autumn Green Carpet
Chloroclysta siterata,Chloroclysta siterata,Moth,Red-green Carpet,Red-green Carpet
Chloroclystis v-ata,Chloroclystis v-ata,Moth,V-Pug,V-Pug
Cidaria fulvata,Cidaria fulvata,Moth,Barred Yellow,Barred Yellow
Cirrhia gilvago,Cirrhia gilvago,Moth,Dusky-lemon Sallow,Dusky-lemon Sallow
Cirrhia icteritia,Cirrhia icteritia,Moth,Sallow,Sallow
Colocasia coryli,Colocasia coryli,Moth,Nut-tree Tussock,Nut-tree Tussock
Colostygia multistrigaria,Colostygia multistrigaria,Moth,Mottled Grey,Mottled Grey
Colostygia pectinataria,Colostygia pectinataria,Moth,Green Carpet,Green Carpet
Colotois pennaria,Colotois pennaria,Moth,Feathered Thorn,Feathered Thorn
Conistra vaccinii,Conistra vaccinii,Moth,Chestnut,Chestnut
Cosmia trapezina,Cosmia trapezina,Moth,Dun-bar,Dun-bar
Cosmorhoe ocellata,Cosmorhoe ocellata,Moth,Purple Bar,Purple Bar
Crocallis elinguaria,Crocallis elinguaria,Moth,Scalloped Oak,Scalloped Oak
Cucullia chamomillae,Cucullia chamomillae,Moth,Chamomile Shark,Chamomile Shark
Cucullia umbratica,Cucullia umbratica,Moth,Shark,Shark
Cylista elegans,Cylista elegans,Moth,Cylista elegans,Cylista elegans
Dasypolia templi,Dasypolia templi,Moth,Brindled Ochre,Brindled Ochre
Deilephila elpenor,Deilephila elpenor,Moth,Elephant Hawk-moth,Elephant Hawk-moth
Deilephila porcellus,Deilephila porcellus,Moth,Small Elephant Hawk-moth,Small Elephant Hawk-moth
Dendrolimus sibiricus,Dendrolimus sibiricus,Moth,Siberian silkmoth,Siberian silkmoth
Denticucullus pygmina,Denticucullus pygmina,Moth,Small Wainscot,Small Wainscot
Diachrysia chrysitis,Diachrysia chrysitis,Moth,Burnished Brass,Burnished Brass
Diarsia brunnea,Diarsia brunnea,Moth,Purple Clay,Purple Clay
Diarsia dahlii,Diarsia dahlii,Moth,Barred Chestnut,Barred Chestnut
Diarsia mendica,Diarsia mendica,Moth,Ingrailed Clay,Ingrailed Clay
Diarsia rubi,Diarsia rubi,Moth,Small Square-spot,Small Square-spot
Dicallomera fascelina,Dicallomera fascelina,Moth,Dark Tussock,Dark Tussock
Drepana falcataria,Drepana falcataria,Moth,Pebble Hook-tip,Pebble Hook-tip
Dryobotodes eremita,Dryobotodes eremita,Moth,Brindled Green,Brindled Green
Dysstroma citrata,Dysstroma citrata,Moth,Dark Marbled Carpet,Dark Marbled Carpet
Dysstroma truncata,Dysstroma truncata,Moth,Common Marbled Carpet,Common Marbled Carpet
Earophila badiata,Earophila badiata,Moth,Shoulder Stripe,Shoulder Stripe
Ecliptopera silaceata,Ecliptopera silaceata,Moth,Small Phoenix,Small Phoenix
Ectropis crepuscularia,Ectropis crepuscularia,Moth,Engrailed,Engrailed
Eilema depressa,Eilema depressa,Moth,Buff Footman,Buff Footman
Eilema lurideola,Eilema lurideola,Moth,Common Footman,Common Footman
Electrophaes corylata,Electrophaes corylata,Moth,Broken-barred Carpet,Broken-barred Carpet
Ematurga atomaria,Ematurga atomaria,Moth,Common Heath,Common Heath
Ennomos alniaria,Ennomos alniaria,Moth,Canary-shouldered Thorn,Canary-shouldered Thorn
Epirrhoe alternata,Epirrhoe alternata,Moth,Common Carpet,Common Carpet
Epirrhoe tristata,Epirrhoe tristata,Moth,Small Argent & Sable,Small Argent & Sable
Epirrita autumnata,Epirrita autumnata,Moth,Autumnal Moth,Autumnal Moth
Epirrita christyi,Epirrita christyi,Moth,Pale November Moth,Pale November Moth
Epirrita dilutata,Epirrita dilutata,Moth,November Moth,November Moth
Erannis defoliaria,Erannis defoliaria,Moth,Mottled Umber,Mottled Umber
Eugnorisma glareosa,Eugnorisma glareosa,Moth,Autumnal Rustic,Autumnal Rustic
Eulithis populata,Eulithis populata,Moth,Northern Spinach,Northern Spinach
Eulithis prunata,Eulithis prunata,Moth,Phoenix,Phoenix
Eulithis testata,Eulithis testata,Moth,Chevron,Chevron
Eupithecia abbreviata,Eupithecia abbreviata,Moth,Brindled Pug,Brindled Pug
Eupithecia absinthiata,Eupithecia absinthiata,Moth,Wormwood Pug,Wormwood Pug
Eupithecia assimilata,Eupithecia assimilata,Moth,Currant Pug,Currant Pug
Eupithecia centaureata,Eupithecia centaureata,Moth,Lime-speck Pug,Lime-speck Pug
Eupithecia exiguata,Eupithecia exiguata,Moth,Mottled Pug,Mottled Pug
Eupithecia icterata,Eupithecia icterata,Moth,Tawny Speckled Pug,Tawny Speckled Pug
Eupithecia indigata,Eupithecia indigata,Moth,Ochreous Pug,Ochreous Pug
Eupithecia intricata,Eupithecia intricata,Moth,Freyers Pug,Freyers Pug
Eupithecia lariciata,Eupithecia lariciata,Moth,Larch Pug,Larch Pug
Eupithecia nanata,Eupithecia nanata,Moth,Narrow-winged Pug,Narrow-winged Pug
Eupithecia pulchellata,Eupithecia pulchellata,Moth,Foxglove Pug,Foxglove Pug
Eupithecia pusillata,Eupithecia pusillata,Moth,Juniper Pug,Juniper Pug
Eupithecia pygmaeata,Eupithecia pygmaeata,Moth,Marsh Pug,Marsh Pug
Eupithecia satyrata,Eupithecia satyrata,Moth,Satyr Pug,Satyr Pug
Eupithecia subfuscata,Eupithecia subfuscata,Moth,Grey Pug,Grey Pug
Eupithecia succenturiata,Eupithecia succenturiata,Moth,Bordered Pug,Bordered Pug
Eupithecia tantillaria,Eupithecia tantillaria,Moth,Dwarf Pug,Dwarf Pug
Eupithecia tenuiata,Eupithecia tenuiata,Moth,Slender Pug,Slender Pug
Eupithecia tripunctaria,Eupithecia tripunctaria,Moth,White-spotted Pug,White-spotted Pug
Eupithecia trisignaria,Eupithecia trisignaria,Moth,Triple-spotted Pug,Triple-spotted Pug
Eupithecia virgaureata,Eupithecia virgaureata,Moth,Golden-rod Pug,Golden-rod Pug
Eupithecia vulgata,Eupithecia vulgata,Moth,Common Pug,Common Pug
Euplexia lucipara,Euplexia lucipara,Moth,Small Angle Shades,Small Angle Shades
Eupsilia transversa,Eupsilia transversa,Moth,Satellite,Satellite
Eurois occulta,Eurois occulta,Moth,Great Brocade,Great Brocade
Eustroma reticulata,Eustroma reticulata,Moth,Netted Pug,Netted Pug
Euxoa cursoria,Euxoa cursoria,Moth,Coast Dart,Coast Dart
Euxoa nigricans,Euxoa nigricans,Moth,Garden Dart,Garden Dart
Euxoa obelisca,Euxoa obelisca,Moth,Square-spot Dart,Square-spot Dart
Euxoa tritici,Euxoa tritici,Moth,White-line Dart,White-line Dart
Falcaria lacertinaria,Falcaria lacertinaria,Moth,Scalloped Hook-tip,Scalloped Hook-tip
Furcula furcula,Furcula furcula,Moth,Sallow Kitten,Sallow Kitten
Gandaritis pyraliata,Gandaritis pyraliata,Moth,Barred Straw,Barred Straw
Geometra papilionaria,Geometra papilionaria,Moth,Large Emerald,Large Emerald
Gortyna flavago,Gortyna flavago,Moth,Frosted Orange,Frosted Orange
Graphiphora augur,Graphiphora augur,Moth,Double Dart,Double Dart
Griposia aprilina,Griposia aprilina,Moth,Merveille du Jour,Merveille du Jour
Gymnoscelis rufifasciata,Gymnoscelis rufifasciata,Moth,Double-striped Pug,Double-striped Pug
Hada plebeja,Hada plebeja,Moth,Shears,Shears
Hadena bicruris,Hadena bicruris,Moth,Lychnis,Lychnis
Hadena confusa,Hadena confusa,Moth,Marbled Coronet,Marbled Coronet
Hebecnema vespertina,Hebecnema vespertina,Moth,Hebecnema vespertina,Hebecnema vespertina
Hecatera bicolorata,Hecatera bicolorata,Moth,Broad-barred White,Broad-barred White
Helcomyza ustulata,Helcomyza ustulata,Moth,Helcomyza ustulata,Helcomyza ustulata
Helicoverpa armigera,Helicoverpa armigera,Moth,Scarce Bordered Straw,Scarce Bordered Straw
Helotropha leucostigma,Helotropha leucostigma,Moth,Crescent,Crescent
Hepialus humuli,Hepialus humuli,Moth,Ghost Moth,Ghost Moth
Herminia grisealis,Herminia grisealis,Moth,Small Fan-foot,Small Fan-foot
Herminia tarsipennalis,Herminia tarsipennalis,Moth,Fan-foot,Fan-foot
Hoplodrina blanda,Hoplodrina blanda,Moth,Rustic,Rustic
Hoplodrina octogenaria,Hoplodrina octogenaria,Moth,Uncertain,Uncertain
Hydraecia micacea,Hydraecia micacea,Moth,Rosy Rustic,Rosy Rustic
Hydraecia petasitis,Hydraecia petasitis,Moth,Butterbur,Butterbur
Hydrelia flammeolaria,Hydrelia flammeolaria,Moth,Small Yellow Wave,Small Yellow Wave
Hydriomena furcata,Hydriomena furcata,Moth,July Highflyer,July Highflyer
Hydriomena impluviata,Hydriomena impluviata,Moth,May Highflyer,May Highflyer
Hydropsyche siltalai,Hydropsyche siltalai,Moth,Hydropsyche siltalai,Hydropsyche siltalai
Hylaea fasciaria,Hylaea fasciaria,Moth,Barred Red,Barred Red
Hyles gallii,Hyles gallii,Moth,Bedstraw Hawk-moth,Bedstraw Hawk-moth
Hypena proboscidalis,Hypena proboscidalis,Moth,Snout,Snout
Idaea aversata,Idaea aversata,Moth,Riband Wave,Riband Wave
Idaea biselata,Idaea biselata,Moth,Small Fan-footed Wave,Small Fan-footed Wave
Idaea dimidiata,Idaea dimidiata,Moth,Single-dotted Wave,Single-dotted Wave
Idaea seriata,Idaea seriata,Moth,Small Dusty Wave,Small Dusty Wave
Ipimorpha subtusa,Ipimorpha subtusa,Moth,Olive,Olive
Ips sexdentatus ,Ips sexdentatus ,Moth,six-toothed bark beetle,six-toothed bark beetle
Korscheltellus fusconebulosa,Korscheltellus fusconebulosa,Moth,Map-winged Swift,Map-winged Swift
Korscheltellus lupulina,Korscheltellus lupulina,Moth,Common Swift,Common Swift
Lacanobia oleracea,Lacanobia oleracea,Moth,Bright-line Brown-eye,Bright-line Brown-eye
Lacanobia thalassina,Lacanobia thalassina,Moth,Pale-shouldered Brocade,Pale-shouldered Brocade
Lampropteryx suffumata,Lampropteryx suffumata,Moth,Water Carpet,Water Carpet
Laothoe populi,Laothoe populi,Moth,Poplar Hawk-moth,Poplar Hawk-moth
Lateroligia ophiogramma,Lateroligia ophiogramma,Moth,Double Lobed,Double Lobed
Leptologia lota,Leptologia lota,Moth,Red-line Quaker,Red-line Quaker
Leptologia macilenta,Leptologia macilenta,Moth,Yellow-line Quaker,Yellow-line Quaker
Leptosciarella trochanterata,Leptosciarella trochanterata,Moth,Leptosciarella trochanterata,Leptosciarella trochanterata
Leucania comma,Leucania comma,Moth,Shoulder-striped Wainscot,Shoulder-striped Wainscot
Ligdia adustata,Ligdia adustata,Moth,Scorched Wing,Scorched Wing
Lithophane leautieri,Lithophane leautieri,Moth,Blairs Shoulder-knot,Blairs Shoulder-knot
Lithophane socia,Lithophane socia,Moth,Pale Pinion,Pale Pinion
Litoligia literosa,Litoligia literosa,Moth,Rosy Minor,Rosy Minor
Lobophora halterata,Lobophora halterata,Moth,Seraphim,Seraphim
Lomaspilis marginata,Lomaspilis marginata,Moth,Clouded Border,Clouded Border
Lomographa temerata,Lomographa temerata,Moth,Clouded Silver,Clouded Silver
Longalatedes elymi,Longalatedes elymi,Moth,Lyme Grass,Lyme Grass
Ludwigia grandiflora ,Ludwigia grandiflora ,Moth,Water primrose ,Water primrose 
Luperina testacea,Luperina testacea,Moth,Flounced Rustic,Flounced Rustic
Lycia hirtaria,Lycia hirtaria,Moth,Brindled Beauty,Brindled Beauty
Lycophotia porphyrea,Lycophotia porphyrea,Moth,True Lovers Knot,True Lovers Knot
Macaria liturata,Macaria liturata,Moth,Tawny-barred Angle,Tawny-barred Angle
Macroglossum stellatarum,Macroglossum stellatarum,Moth,Hummingbird Hawk-moth,Hummingbird Hawk-moth
Macrothylacia rubi,Macrothylacia rubi,Moth,Fox Moth,Fox Moth
Malmgrenia castanea,Malmgrenia castanea,Moth,Malmgrenia castanea,Malmgrenia castanea
Mamestra brassicae,Mamestra brassicae,Moth,Cabbage Moth,Cabbage Moth
Mesoleuca albicillata,Mesoleuca albicillata,Moth,Beautiful Carpet,Beautiful Carpet
Mesoligia furuncula,Mesoligia furuncula,Moth,Cloaked Minor,Cloaked Minor
Mesotype didymata,Mesotype didymata,Moth,Twin-spot Carpet,Twin-spot Carpet
Microtus agrestis,Microtus agrestis,Moth,Field Vole,Field Vole
Mniotype adusta,Mniotype adusta,Moth,Dark Brocade,Dark Brocade
Mormo maura,Mormo maura,Moth,Old Lady,Old Lady
Mythimna conigera,Mythimna conigera,Moth,Brown-line Bright-eye,Brown-line Bright-eye
Mythimna ferrago,Mythimna ferrago,Moth,Clay,Clay
Mythimna impura,Mythimna impura,Moth,Smoky Wainscot,Smoky Wainscot
Mythimna litoralis,Mythimna litoralis,Moth,Shore Wainscot,Shore Wainscot
Mythimna pallens,Mythimna pallens,Moth,Common Wainscot,Common Wainscot
Naenia typica,Naenia typica,Moth,Gothic,Gothic
Noctua comes,Noctua comes,Moth,Lesser Yellow Underwing,Lesser Yellow Underwing
Noctua fimbriata,Noctua fimbriata,Moth,Broad-bordered Yellow Underwing,Broad-bordered Yellow Underwing
Noctua interjecta,Noctua interjecta,Moth,Least Yellow Underwing,Least Yellow Underwing
Noctua janthe,Noctua janthe,Moth,Lesser Broad-bordered Yellow Underwing,Lesser Broad-bordered Yellow Underwing
Noctua pronuba,Noctua pronuba,Moth,Large Yellow Underwing,Large Yellow Underwing
Nola confusalis,Nola confusalis,Moth,Least Black Arches,Least Black Arches
Nonagria typhae,Nonagria typhae,Moth,Bulrush Wainscot,Bulrush Wainscot
Notodonta dromedarius,Notodonta dromedarius,Moth,Iron Prominent,Iron Prominent
Notodonta ziczac,Notodonta ziczac,Moth,Pebble Prominent,Pebble Prominent
Nudaria mundana,Nudaria mundana,Moth,Muslin Footman,Muslin Footman
Ochropacha duplaris,Ochropacha duplaris,Moth,Common Lutestring,Common Lutestring
Ochropleura plecta,Ochropleura plecta,Moth,Flame Shoulder,Flame Shoulder
Odezia atrata,Odezia atrata,Moth,Chimney Sweeper,Chimney Sweeper
Odontocerum albicorne,Odontocerum albicorne,Moth,Odontocerum albicorne,Odontocerum albicorne
Odontopera bidentata,Odontopera bidentata,Moth,Scalloped Hazel,Scalloped Hazel
Odontosia carmelita,Odontosia carmelita,Moth,Scarce Prominent,Scarce Prominent
Oligia fasciuncula,Oligia fasciuncula,Moth,Middle-barred Minor,Middle-barred Minor
Oligia strigilis,Oligia strigilis,Moth,Marbled Minor,Marbled Minor
Oligia versicolor,Oligia versicolor,Moth,Rufous Minor,Rufous Minor
Operophtera brumata,Operophtera brumata,Moth,Winter Moth,Winter Moth
Opisthograptis luteolata,Opisthograptis luteolata,Moth,Brimstone Moth,Brimstone Moth
Orthosia cerasi,Orthosia cerasi,Moth,Common Quaker,Common Quaker
Orthosia cruda,Orthosia cruda,Moth,Small Quaker,Small Quaker
Orthosia gothica,Orthosia gothica,Moth,Hebrew Character,Hebrew Character
Orthosia gracilis,Orthosia gracilis,Moth,Powdered Quaker,Powdered Quaker
Orthosia incerta,Orthosia incerta,Moth,Clouded Drab,Clouded Drab
Orygma luctuosum,Orygma luctuosum,Moth,Orygma luctuosum,Orygma luctuosum
Ourapteryx sambucaria,Ourapteryx sambucaria,Moth,Swallow-tailed Moth,Swallow-tailed Moth
Panolis flammea,Panolis flammea,Moth,Pine Beauty,Pine Beauty
Papestra biren,Papestra biren,Moth,Glaucous Shears,Glaucous Shears
Parasemia plantaginis,Parasemia plantaginis,Moth,Wood Tiger,Wood Tiger
Parastichtis suspecta,Parastichtis suspecta,Moth,Suspected,Suspected
Pasiphila rectangulata,Pasiphila rectangulata,Moth,Green Pug,Green Pug
Pelurga comitata,Pelurga comitata,Moth,Dark Spinach,Dark Spinach
Pennithera firmata,Pennithera firmata,Moth,Pine Carpet,Pine Carpet
Peribatodes rhomboidaria,Peribatodes rhomboidaria,Moth,Willow Beauty,Willow Beauty
Peridroma saucia,Peridroma saucia,Moth,Pearly Underwing,Pearly Underwing
Perizoma affinitata,Perizoma affinitata,Moth,Rivulet,Rivulet
Perizoma albulata,Perizoma albulata,Moth,Grass Rivulet,Grass Rivulet
Perizoma alchemillata,Perizoma alchemillata,Moth,Small Rivulet,Small Rivulet
Perizoma bifaciata,Perizoma bifaciata,Moth,Barred Rivulet,Barred Rivulet
Perizoma blandiata,Perizoma blandiata,Moth,Pretty Pinion,Pretty Pinion
Perizoma flavofasciata,Perizoma flavofasciata,Moth,Sandy Carpet,Sandy Carpet
Petrophora chlorosata,Petrophora chlorosata,Moth,Brown Silver-line,Brown Silver-line
Phalera bucephala,Phalera bucephala,Moth,Buff-tip,Buff-tip
Phanacis taraxaci,Phanacis taraxaci,Moth,Phanacis taraxaci,Phanacis taraxaci
Pheosia gnoma,Pheosia gnoma,Moth,Lesser Swallow Prominent,Lesser Swallow Prominent
Pheosia tremula,Pheosia tremula,Moth,Swallow Prominent,Swallow Prominent
Phigalia pilosaria,Phigalia pilosaria,Moth,Pale Brindled Beauty,Pale Brindled Beauty
Phlogophora meticulosa,Phlogophora meticulosa,Moth,Angle Shades,Angle Shades
Photedes minima,Photedes minima,Moth,Small Dotted Buff,Small Dotted Buff
Phragmatobia fuliginosa,Phragmatobia fuliginosa,Moth,Ruby Tiger,Ruby Tiger
Phymatopus hecta,Phymatopus hecta,Moth,Gold Swift,Gold Swift
Plemyria rubiginata,Plemyria rubiginata,Moth,Blue-bordered Carpet,Blue-bordered Carpet
Plusia festucae,Plusia festucae,Moth,Gold Spot,Gold Spot
Plusia putnami,Plusia putnami,Moth,Lempkes Gold Spot,Lempkes Gold Spot
Poecilocampa populi,Poecilocampa populi,Moth,December Moth,December Moth
Pseudoips prasinana,Pseudoips prasinana,Moth,Green Silver-lines,Green Silver-lines
Pseudopanthera macularia,Pseudopanthera macularia,Moth,Speckled Yellow,Speckled Yellow
Pteremis fenestralis,Pteremis fenestralis,Moth,Pteremis fenestralis,Pteremis fenestralis
Pterostoma palpina,Pterostoma palpina,Moth,Pale Prominent,Pale Prominent
Ptilodon capucina,Ptilodon capucina,Moth,Coxcomb Prominent,Coxcomb Prominent
Pyrrhia umbra,Pyrrhia umbra,Moth,Bordered Sallow,Bordered Sallow
Rhizedra lutosa,Rhizedra lutosa,Moth,Large Wainscot,Large Wainscot
Rhyacia simulans,Rhyacia simulans,Moth,Dotted Rustic,Dotted Rustic
Rivula sericealis,Rivula sericealis,Moth,Straw Dot,Straw Dot
Rusina ferruginea,Rusina ferruginea,Moth,Brown Rustic,Brown Rustic
Saturnia pavonia,Saturnia pavonia,Moth,Emperor Moth,Emperor Moth
Schrankia costaestrigalis,Schrankia costaestrigalis,Moth,Pinion-streaked Snout,Pinion-streaked Snout
Scoliopteryx libatrix,Scoliopteryx libatrix,Moth,Herald,Herald
Scotopteryx chenopodiata,Scotopteryx chenopodiata,Moth,Shaded Broad-bar,Shaded Broad-bar
Scotopteryx luridata,Scotopteryx luridata,Moth,July Belle,July Belle
Selenia dentaria,Selenia dentaria,Moth,Early Thorn,Early Thorn
Selenia lunularia,Selenia lunularia,Moth,Lunar Thorn,Lunar Thorn
Sideridis rivularis,Sideridis rivularis,Moth,Campion,Campion
Sideridis turbida,Sideridis turbida,Moth,White Colon,White Colon
Sigara (Subsigara) falleni,Sigara (Subsigara) falleni,Moth,Sigara (Subsigara) falleni,Sigara (Subsigara) falleni
Spilosoma lubricipeda,Spilosoma lubricipeda,Moth,White Ermine,White Ermine
